FECHA,PAÍS,DEPARTAMENTO,MUNICIPIO,DELITO,PAIS VÍCTIMA,GENERO,ZONA,CIRCUNSTANCIASPERSONA
2022-08-11T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,VENEZUELA,FEMENINO,URBANA,VENEZUELA
2022-08-12T00:00:00.000,COLOMBIA,ANTIOQUIA,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
2022-08-12T00:00:00.000,COLOMBIA,VALLE,Cali (CT),ARTÍCULO 239. HURTO PERSONAS,CANADA,MASCULINO,URBANA,CANADA
2022-08-18T00:00:00.000,COLOMBIA,NORTE DE SANTANDER,Tibú,ARTÍCULO 169. SECUESTRO EXTORSIVO,MEXICO,MASCULINO,URBANA,MEXICO
2022-08-22T00:00:00.000,COLOMBIA,BOLÍVAR,Cartagena (CT),MUERTE ACCIDENTAL,HOLANDA,FEMENINO,URBANA,HOLANDA
2022-08-22T00:00:00.000,COLOMBIA,BOLÍVAR,Cartagena (CT),MUERTE ACCIDENTAL,HOLANDA,MASCULINO,URBANA,HOLANDA
2022-08-22T00:00:00.000,COLOMBIA,GUAJIRA,Manaure,ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-08-23T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,FRANCIA,FEMENINO,URBANA,FRANCIA
2022-08-24T00:00:00.000,COLOMBIA,ANTIOQUIA,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
2022-08-24T00:00:00.000,COLOMBIA,ANTIOQUIA,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,PANAMA,MASCULINO,URBANA,PANAMA
2022-08-26T00:00:00.000,COLOMBIA,BOLÍVAR,Cartagena (CT),ARTÍCULO 239. HURTO PERSONAS,-,FEMENINO,URBANA,-
2022-08-28T00:00:00.000,COLOMBIA,BOLÍVAR,Cartagena (CT),ARTÍCULO 239. HURTO PERSONAS,-,MASCULINO,URBANA,-
2022-08-30T00:00:00.000,COLOMBIA,BOLÍVAR,Cartagena (CT),ARTÍCULO 239. HURTO PERSONAS,-,MASCULINO,URBANA,-
2022-09-05T00:00:00.000,COLOMBIA,BOLÍVAR,Cartagena (CT),ARTÍCULO 239. HURTO PERSONAS,-,MASCULINO,URBANA,-
2022-09-06T00:00:00.000,COLOMBIA,BOLÍVAR,Cartagena (CT),ARTÍCULO 447. RECEPTACIÓN,FRANCIA,MASCULINO,URBANA,FRANCIA
2022-09-06T00:00:00.000,COLOMBIA,BOLÍVAR,Cartagena (CT),RECUPERACION,FRANCIA,MASCULINO,URBANA,FRANCIA
2022-09-09T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,NUEVA ZELANDA,MASCULINO,URBANA,NUEVA ZELANDA
2022-09-11T00:00:00.000,COLOMBIA,ANTIOQUIA,Medellín (CT),ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
